"claim_id","location","claim","status","artifact"
"C001","Abstract; pp. 1205-1206; p. 1222","The analysis contains 2,601 group-issue pairs.","corrected","tabs/00_analysis_inventory.csv"
"C002","Abstract; pp. 1216-1218; pp. 1222-1223","The data show faint opposition to domination.","rewrite","tabs/02_table_2.csv"
"C003","Table 1 and p. 1215","Participant, group, and policy-index inventory.","corrected","tabs/00_poll_inventory.csv"
"C004","Footnote 12, p. 1210","Correlations among homogenization, polarization, and domination.","sample_choice","tabs/05_corr_hpd.csv"
"C005","p. 1216","Six of ten Table 2 estimates are statistically significant.","corrected","tabs/02_table_2.csv"
"C006","p. 1216","Two of twenty participants moving .1 changes the mean by .10.","corrected","direct arithmetic"
"C007","Table 2, p. 1218","Main homogenization, polarization, and domination estimates.","corrected","tabs/02_table_2.csv"
"C008","Figure 3, p. 1217; Appendix B","Distributions and subgroup comparisons use common constructs.","corrected","figs/figure_manifest.csv"
"C009","Table 3, p. 1220","Group and subgroup movement estimates.","corrected","tabs/03_table_3.csv"
"C010","pp. 1219-1220 and footnote 22","Domination varies with the disadvantaged share of the group.","corrected","tabs/07_parsing_domination.csv"
"C011","pp. 1220-1221","Net and gross attitude change are .092 and .203.","weighting_choice","tabs/05_attitude_change_weighting.csv"
"C012","Footnote 20, p. 1216","Huber-White standard errors are clustered by policy index.","corrected","scripts/03_se.R"
"C013","Conclusion, pp. 1222-1223","The paper interprets the pattern as compatible with weighing the merits.","interpretation_review","AUDIT.md"
